class,采集时间,竖向加速度平均值,竖向加速度标准差
155,2021-04-28 20:50:00.000,-6.703942706225532e-06,0.007216276447365119
156,2021-04-28 21:00:00.000,-2.7005135484420943e-06,0.0026771628563454857
157,2021-04-28 21:10:00.000,-2.3704047710401073e-06,0.008257821546641382
158,2021-04-28 21:20:00.000,-9.691072792533774e-07,0.004849091318275393
159,2021-04-28 21:30:00.000,-2.1737954795686264e-06,0.0016103454928651489
160,2021-04-28 21:40:00.000,2.3737394620993396e-06,0.008732064571359227
161,2021-04-28 21:50:00.000,1.0129541593697842e-06,0.0045582478325266506
162,2021-04-28 22:00:00.000,1.0985906342223915e-06,0.00681789167761514
163,2021-04-28 22:10:00.000,-1.647224383694652e-06,0.0034914626144595504
164,2021-04-28 22:20:00.000,9.638886306159798e-07,0.00869680093884773
165,2021-04-28 22:30:00.000,-5.791938471321589e-06,0.009330823106691323
166,2021-04-28 22:40:00.000,-4.8956122895002875e-06,0.0051458497092797
167,2021-04-28 22:50:00.000,2.8836651230425514e-06,0.004255054295265303
168,2021-04-28 23:00:00.000,3.3190200141903104e-06,0.004842159336029179
169,2021-04-28 23:10:00.000,-5.165378269332754e-06,0.005084478839545691
170,2021-04-28 23:20:00.000,6.804057486989686e-06,0.010110593319997358
171,2021-04-28 23:30:00.000,-5.293159286613598e-06,0.008298450467023594
172,2021-04-28 23:40:00.000,-2.150575613400643e-06,0.00425488027251535
173,2021-04-28 23:50:00.000,3.5054114016755383e-07,0.0021909922900257704
174,2021-04-29 00:00:00.000,-4.4830238420562167e-07,0.0015767085438126492
175,2021-04-29 00:10:00.000,8.907667292230521e-07,0.00398297481476058
176,2021-04-29 00:20:00.000,1.273926421981679e-06,0.003404945279190188
177,2021-04-29 00:30:00.000,4.421026526567282e-07,0.013272449361602675
178,2021-04-29 00:40:00.000,4.395856435249766e-07,0.011281639960652961
179,2021-04-29 00:50:00.000,-6.530796494086945e-07,0.0022906278091404933
180,2021-04-29 01:00:00.000,4.813903144426023e-07,0.005352740349765045
