class,采集时间,竖向变位平均值,竖向变位标准差
271,2021-04-29 16:10:16,24.88721286972936,5.128332815880366
272,2021-04-29 16:20:15,24.46376632232719,6.242079647100429
273,2021-04-29 16:30:15,24.014655543852964,6.045590799973513
274,2021-04-29 16:40:15,23.19025204223953,4.12125697724281
275,2021-04-29 16:50:15,21.813269438559775,4.354233146269217
276,2021-04-29 17:00:15,19.861607142857142,4.644026537659204
277,2021-04-29 17:10:15,17.613839285714324,5.453487260494938
278,2021-04-29 17:20:15,16.850570436507972,4.673705260228174
279,2021-04-29 17:30:15,14.790339607787002,5.201143601705537
280,2021-04-29 17:40:15,13.368528324088116,4.820818805543826
281,2021-04-29 17:50:15,11.991633415366506,4.235740755651657
282,2021-04-29 18:00:15,10.707543172210281,3.9678264535262326
283,2021-04-29 18:10:15,8.81902655754804,3.9036207715172706
284,2021-04-29 18:20:15,7.4058622903218145,5.039119945685797
285,2021-04-29 18:30:15,6.468658179234162,5.048980786465132
286,2021-04-29 18:40:15,6.097266518233285,4.270934368551536
287,2021-04-29 18:50:15,4.852901824073858,3.8287476222592245
