class,采集时间,横向加速度平均值,横向加速度标准差
217,2021-05-05 12:10:00.000,-3.7483312011030906e-07,0.0006856407375646407
218,2021-05-05 12:20:00.000,3.2831265040409897e-07,0.00046366624459430683
219,2021-05-05 12:30:00.000,-5.611757373717606e-07,0.0005649427007385533
220,2021-05-05 12:40:00.000,2.909405235493842e-07,0.0007684404436685799
221,2021-05-05 12:50:00.000,3.9040197251270386e-07,0.0005914640038062885
222,2021-05-05 13:00:00.000,-6.379506598082984e-07,0.0005684273032978112
223,2021-05-05 13:10:00.000,-1.4362395590832427e-06,0.0005958403059023258
224,2021-05-05 13:20:00.000,5.709627787881901e-07,0.0006658065974225379
225,2021-05-05 13:30:00.000,3.199651481963711e-07,0.000710311142408985
226,2021-05-05 13:40:00.000,2.60533874526157e-07,0.0007300490346912163
227,2021-05-05 13:50:00.000,-5.679970840827556e-07,0.001016088901034885
228,2021-05-05 14:00:00.000,-5.102497072705449e-07,0.0007676322768753692
229,2021-05-05 14:10:00.000,2.3539006616233518e-07,0.0007729750509403614
230,2021-05-05 14:20:00.000,1.278927920061279e-06,0.0008449550454799463
231,2021-05-05 14:30:00.000,-9.953784903325014e-07,0.0009326380541000893
232,2021-05-05 14:40:00.000,-1.0003692211599129e-06,0.0009562809338292899
233,2021-05-05 14:50:00.000,-2.6989888314910975e-07,0.0006518503931862958
234,2021-05-05 15:00:00.000,-6.086343247048308e-07,0.0007230235281479031
235,2021-05-05 15:10:00.000,1.3736819938608668e-06,0.0007893648781831797
236,2021-05-05 15:20:00.000,-2.318303466023681e-07,0.0011841336677111665
237,2021-05-05 15:30:00.000,-2.311141124085729e-07,0.000691702506422075
238,2021-05-05 15:40:00.000,-9.668909308431497e-07,0.0007490802821418548
239,2021-05-05 15:50:00.000,7.704885817371069e-07,0.0007172560347143383
240,2021-05-05 16:00:00.000,-1.3673574300516226e-06,0.0008629137175744709
241,2021-05-05 16:10:00.000,1.1553391614194e-06,0.0007938561647590437
242,2021-05-05 16:20:00.000,9.204569912925488e-07,0.0007378902927601073
243,2021-05-05 16:30:00.000,2.0437890677267213e-06,0.0009006150792186035
244,2021-05-05 16:40:00.000,4.3198564601107694e-07,0.0012174429304455917
245,2021-05-05 16:50:00.000,2.5964730108851566e-07,0.0010370105990147051
246,2021-05-05 17:00:00.000,7.34212558570477e-07,0.0008049479335789091
247,2021-05-05 17:10:00.000,4.975702559568952e-07,0.0013271317762140113
248,2021-05-05 17:20:00.000,-4.507301183169365e-07,0.000900416627829512
249,2021-05-05 17:30:00.000,1.4105241718873153e-06,0.001166704516885219
250,2021-05-05 17:40:00.000,-6.104251224486413e-07,0.0007067464338012473
251,2021-05-05 17:50:00.000,2.85596071347713e-08,0.0007027289073189335
252,2021-05-05 18:00:00.000,-1.9594279504959735e-07,0.000658408573729113
253,2021-05-05 18:10:00.000,-2.944334511526842e-07,0.0006893197187689716
254,2021-05-05 18:20:00.000,-1.7229388293013428e-07,0.0007515300522839528
255,2021-05-05 18:30:00.000,4.553636455641872e-07,0.0006939998268987549
256,2021-05-05 18:40:00.000,5.999818587183809e-07,0.000897402794853412
257,2021-05-05 18:50:00.000,7.372446588248258e-08,0.0009347592746799424
258,2021-05-05 19:00:00.000,-1.0004154845852042e-07,0.0019486090790024769
259,2021-05-05 19:10:00.000,6.058996853286052e-07,0.0004905227894041815
260,2021-05-05 19:20:00.000,1.8991229246955077e-06,0.0005667039885919876
261,2021-05-05 19:30:00.000,-2.9308434207583362e-06,0.0013642805443000471
262,2021-05-05 19:40:00.000,-6.814965829068206e-06,0.0014621669757019658
263,2021-05-05 19:50:00.000,1.448177400258806e-07,0.0004642415680524993
264,2021-05-05 20:00:00.000,2.480757226043208e-06,0.0006493736677956254
265,2021-05-05 20:10:00.000,1.4123384016932284e-06,0.0014916122574497777
266,2021-05-05 20:20:00.000,5.54338549769571e-07,0.0011552109107263813
267,2021-05-05 20:30:00.000,2.5341630377976487e-06,0.0008751926957380307
268,2021-05-05 20:40:00.000,-1.3702693808716548e-06,0.0010895629443772854
269,2021-05-05 20:50:00.000,-1.0706661309389976e-06,0.000987292488818324
270,2021-05-05 21:00:00.000,5.140937828821512e-07,0.0008300406860914268
271,2021-05-05 21:10:00.000,2.7703586088311595e-06,0.0009816056830971181
272,2021-05-05 21:20:00.000,1.3151834392483605e-06,0.0012876138446596321
273,2021-05-05 21:30:00.000,-2.580164131619822e-07,0.0012553801375280076
274,2021-05-05 21:40:00.000,4.87174467868012e-06,0.0009436853268360432
275,2021-05-05 21:50:00.000,2.4684076348313517e-06,0.0007623425407731277
276,2021-05-05 22:00:01.000,1.6081441951464387e-06,0.000800570828427848
277,2021-05-05 22:10:00.000,2.072443105606269e-05,0.001207636795316716
278,2021-05-05 22:20:00.000,1.0535853413299826e-05,0.0012089274740882912
279,2021-05-05 22:30:00.000,3.429362975140569e-06,0.001659077098037163
280,2021-05-05 22:40:00.000,-3.374872289576217e-06,0.0012495783833324453
281,2021-05-05 22:50:00.000,5.1213364865947875e-08,0.0010065192036493372
282,2021-05-05 23:00:00.000,2.8172776770936466e-06,0.00044245871453210765
283,2021-05-05 23:10:00.000,3.08852296402452e-06,0.0007961080069892901
284,2021-05-05 23:20:01.000,1.4106121833524489e-06,0.0010782891559714615
285,2021-05-05 23:30:00.000,1.0101594909479533e-05,0.0010081519621913248
286,2021-05-05 23:40:00.000,-9.390335843541826e-06,0.0011667535121841785
287,2021-05-05 23:50:00.000,-3.100707106322797e-06,0.0013776405098330153
